category1,category2,category3,date_represented,description,source,0,3,5,6,7,11,12,13,16,17,18,23,24,28,29,30,31,32,35,38,45,46,47,48,49,50,51,52,54,55,60,64,65,66,67,70,71,75,76,77,81,82,83,85,86,87,88,90,93,97,99,100,106,108,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,943,944,945,946,947,948,949,950,951,952,953,954,955,956,957,958
Neighbourhood Name,NA,NA,NA,NA,NA,Ottawa,Beacon Hill South - Cardinal Heights,Beechwood Cemetery,Bells Corners East,Bells Corners West,Braemar Park - Bel Air Heights - Copeland Park,Briar Green - Leslie Park,Bridlewood - Emerald Meadows,Carleton Heights - Rideauview,Carleton University,Carlington,Centrepointe,Centretown,Civic Hospital-Central Park,Constance Bay,Corkery,Cityview - Crestview - Meadowlands,Crystal Bay - Lakeview Park,Dunrobin,Emerald Woods - Sawmill Creek,Greenboro East,Hawthorne Meadows - Sheffield Glen,Hintonburg - Mechanicsville,Hunt Club - Ottawa Airport,Hunt Club East - Western Community,Hunt Club Park,Hunt Club South Industrial,Hunt Club Upper -Blossom Park - Timbermill,Iris - Queensway Terrance South,Island Park - Wellington Village,Lebreton Development,Manotick,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,Metcalfe,Munster - Ashton,North Gower - Kars,Notre-Dame Cemetery,Chapel Hill South,Chatelaine Village,Orléans Industrial,Osgoode - Vernon,Old Ottawa East,Old Ottawa South,Marlborough,Pineview,Playfair Park - Lynda Park - Guildwood Estates,Qualicum - Redwood Park,Riverside Park,Rothwell Heights - Beacon Hill North,South Keys - Greenboro West,Tanglewood,Trend-Arlington,Whitehaven - Queensway Terrace North,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Bayshore - Belltown,Beaverbrook,Billings Bridge - Alta Vista,Blackburn Hamlet,Borden Farm - Fisher Glen,Britannia Village,Brookside - Briarbrook - Morgan's Grant,Byward Market,Cardinal Creek,Carlingwood West - Glabar Park - McKellar Heights,Carp,Carson Grove - Carson Meadows,Chapel Hill North,Chapman Mills,Convent Glen - Orléans Woods,Cumberland,East Industrial,Edwards - Carlsbad Springs,Elmvale - Canterbury,Fallingbrook,Findlay Creek,Fitzroy,Glebe - Dows Lake,Glen Cairn - Kanata South Business Park,Greely,Greenbelt,Hunt Club Woods - Quintarra - Revelstoke,Kanata Lakes - Arcadia,Katimavik - Hazeldean,Kinburn,Laurentian,Ledbury - Heron Gate - Ridgemont,Lindenlea - New Edinburgh,Lowertown,Manor Park,Navan - Sarsfield,Old Barrhaven East,Old Barrhaven West,Orléans Village - Chateauneuf,Overbrook - McArthur,Parkwood Hills - Stewart Farm,Portobello South,Queenswood Heights,Richmond,Rideau Crest - Davidson Heights,Riverside South - Leitrim,Riverview,Rockcliffe Park,Sandy Hill,Skyline - Fisher Heights,Stittsville,Stonebridge - Half Moon Bay - Heart's Desire,Vanier North,Vanier South,Vars,Wateridge Village,West Centretown,Westboro
Arts & Culture,Community Recreation Centres,% residents within 15 min walking distance,29-Nov-19,Community recreation centres are full service sites where you can register for courses and activities in your neighbourhood.,City of Ottawa,40.01123406,0,0,33.73934227,0,8.679079314,15.20446097,47.53278689,73.53579176,0,100,34.27191166,97.92988081,58.92558344,0,0,0,0,0,72.74721258,92.3084403,39.25937308,97.03970397,2.016430172,86.81577398,0,0,64.62897121,68.59490815,76.33040674,100,0,4.495912807,0,0,0,100,0,0,100,0,91.71122995,100,0,0,43.9859084,8.103214124,0,0,26.73879444,43.39383706,0,68.69969297,11.54397706,36.28066172,49.68123862,22.58965999,0,12.96059183,69.60691824,23.15987461,100,61.49834869,5.086755038,0,37.76413854,9.180297739,0,25.3303026,0,31.98579623,0,81.07480807,42.3254565,0,0,100,55.97696057,0,0,11.05671843,6.322765538,33.64896273,0,54.05461316,92.02499628,84.6975768,100,66.66666667,0,0,39.34621268,0,72.24393254,4.615774791,47.19301454,28.89597759,0,0,53.69890616,0,100,100,0,6.919811786,63.08804114,94.6969697,90.04865104,0,0,93.46613546,95.68735335
Arts & Culture,Community Recreation Centres,Avg. distance to nearest community recreation centre (km),29-Nov-19,Community recreation centres are full service sites where you can register for courses and activities in your neighbourhood.,City of Ottawa,2.934442022,2.502540101,1.412789228,1.479759792,2.384164902,1.844851228,1.912560658,1.424349952,1.157089442,2.222398049,0.602239411,1.380702885,0.668265486,1.145686743,23.29608231,16.4307842,2.453457824,2.987333965,12.5159573,1.219038313,0.773099079,1.3925912,0.622947548,2.316851855,0.800198299,2.424771287,2.300395938,1.109756164,1.007477718,1.017935595,1.073902493,6.254476383,3.494603689,20.9200083,16.35147333,15.17237329,0.911557021,4.833283209,3.26825567,0.821020641,20.98743263,0.812633084,0.633393663,26.06066868,2.47844541,1.278766789,1.826785937,2.520034015,4.132596448,1.608164737,1.405426305,3.068930195,1.067322874,2.088928856,1.139091834,1.203126357,1.594015122,5.204287393,2.032499183,1.196981872,1.882864354,0.493854133,1.246149246,2.247084678,12.4366506,1.462516594,2.31550181,2.775848222,2.032140596,9.123615016,1.596333815,12.80320077,0.903416259,1.416765731,5.958797615,29.15790739,0.727890224,1.397103044,12.54166117,4.281449325,1.87112998,2.533197489,1.480185537,23.90618796,1.166368693,0.672777695,0.764402948,0.471597029,0.997694477,5.679405491,2.777060476,1.562435687,2.550446922,1.0699886,1.802844464,1.333896047,1.544113017,8.752042259,3.75534924,1.363514771,2.119044808,0.661803488,0.666309211,2.177564926,2.569528208,1.186745937,0.86215631,0.886823865,4.309512573,1.88631783,0.632756205,0.848368486
Arts & Culture,Community Recreation Centres,Avg. distance to nearest 3 community recreation centres (km),29-Nov-19,Community recreation centres are full service sites where you can register for courses and activities in your neighbourhood.,City of Ottawa,4.207303842,4.177363754,1.640772137,3.621203638,3.925024059,2.347311647,2.428352197,3.291424181,2.921029958,2.689842353,0.988700971,2.624666433,1.025039625,1.615083245,26.49499503,17.32150076,3.02881911,3.457217965,15.70521266,2.167176895,2.257053153,2.48429037,1.084597693,3.802159462,2.504102373,3.364554732,3.870719695,2.567363085,1.953107262,1.463044233,1.243989075,8.506812549,4.607237269,22.49061259,18.7347058,17.75071085,1.480937725,5.705719215,4.502386785,4.519768822,22.50593909,1.363684136,1.645241566,28.28455497,3.732445731,1.689551164,2.196765874,2.754586508,4.939375438,2.157223851,3.346470921,3.373855238,1.513243643,3.188372519,1.565771051,2.992208154,1.994466421,6.177912229,3.145239455,1.812387752,5.116893107,1.155823987,2.560790591,2.601994892,14.69636442,2.509029447,4.737938868,3.751510957,4.767400981,10.1816953,2.388294887,15.17579824,2.005558086,2.495400109,7.429465001,31.98772608,1.170330912,2.30780192,13.63930462,5.952748184,3.137527141,3.461672046,2.072689007,26.61727685,1.898718602,1.003013817,1.101038831,0.97427209,1.630434604,7.514448324,4.123332117,4.56387341,3.807623659,1.705999956,2.625911961,2.437410265,3.116289309,10.54144971,4.61420488,5.222832186,2.469919426,1.225456465,1.136713376,2.392201867,4.204236217,4.153925114,1.257458192,1.405757476,13.70832725,2.05771079,0.915289951,1.534594741
Arts & Culture,Community Recreation Centres,Number of community recreation centres (with 50m buffer) per 1000 people,29-Nov-19,Community recreation centres are full service sites where you can register for courses and activities in your neighbourhood.,City of Ottawa,na,0,NA,0.218340611,0,0,0,0.041254125,0.156617071,NA,0.305498982,0,0.071466857,0.091575092,0,0,0,0,0,0,0.093896714,0,0.102249489,0,0.095192765,0,0,0.119545726,0.169923534,0.173611111,0,0,0.673400673,0,0,0,NA,0,0,5.882352941,0,0.136054422,0.161030596,0,0,0.167926113,0,0,0,0,0,0,0.174596246,0,0,0.152905199,0,0,0,0.156862745,0.063351283,0.195503421,0.088300221,0,0,0.089485459,0,0,0,0,0.566572238,0,0.171895144,0.053191489,0,0,0.078895464,0.090171326,0,0,0,0,0.087950748,0,0.20661157,0.22246941,0.203665988,0.161160355,0.142959257,0,0,0.055632823,0,0.052219321,0,0.043412199,0,0,0,0.071326676,0,0.5,0.087108014,0,0.031852206,0.060168472,0.096899225,0.152905199,0.393700787,0,0.21141649,0.087412587
Environment & Sustainability,Tree Canopy,% Tree Canopy,2017,Tree canopy coverage in Ottawa based on Lidar data and aerial imagery.,"City of Ottawa, Ville de Gatineau, National Capital Commission",34.37,19.312855,42.1268701,32.5496842,24.5942656,26.5943952,30.1501918,21.0493224,27.0966293,20.0856719,22.0866675,19.5338341,15.8202957,14.7816666,70.2058022,55.9438522,21.7981513,37.7460069,38.2416071,47.4178456,16.4933,20.0260591,19.3480318,21.254144,35.5664918,23.0739384,12.2540673,44.3592266,24.8931593,27.1387459,10.5842873,31.6287706,51.4903878,27.1798816,36.3424968,22.2046621,18.5402831,19.6900747,32.6301699,5.3728843,28.2013262,24.243379,30.0947897,58.4639311,18.7367217,28.6352398,25.5909181,29.6519636,29.9773588,20.6887548,24.0683999,34.3912367,25.4039778,18.6521391,22.9995526,29.255609,28.4386155,32.7029956,21.4925884,34.1476751,19.0982249,14.809951,19.1179405,24.1690859,35.5973562,24.9158025,37.8425564,12.8583067,25.3395212,33.4790234,13.1367648,35.9528036,22.9619967,15.6721264,35.9823858,35.6263937,25.8582194,16.5769191,42.827076,39.6416066,40.8680225,18.4528546,23.2952133,30.080985,28.6135032,14.5959007,45.1406729,18.7725178,34.4738904,15.2706999,11.8125785,19.3491443,21.5641749,17.0821343,12.7413611,3.47045999,25.6142574,26.5468487,13.9864656,21.2311109,23.1255768,48.1989898,19.8751044,21.2985725,21.4619612,15.2793427,21.0974986,17.1646482,39.4886877,27.56041,13.9059316,29.0188645
Economy & Employment,Jobs and businesses,# of jobs in the neighbourhood,2016,Total number of jobs in a neighbourhood.,City of Ottawa: 2016 City of Ottawa Employment Survey,579241,3411,23,5472,3099,892,664,1128,1294,5367,6567,5002,104847,15961,75,452,7545,1406,867,729,497,939,5590,8632,776,463,21837,1589,2627,10063,183,2724,5175,1243,554,1101,2,2820,157,1487,852,1089,1575,74,3640,313,3658,6129,4755,5304,862,880,3402,2048,3240,701,10191,1437,1329,1860,25700,19625,958,5276,3706,13584,506,2881,4180,563,38772,2881,2845,2896,2663,254,7876,4875,2602,6641,1343,5417,6901,259,4029,2643,1158,3489,1038,1111,2420,2151,1530,14620,193,4239,1820,3078,3997,1249,11983,482,20902,2786,11784,2270,2425,5628,584,2485,12782,6562
Economy & Employment,Jobs and businesses,Job density (# jobs per km2),2016,Total number of jobs in a neighbourhood per squared kilometre,City of Ottawa: 2016 City of Ottawa Employment Survey,207.0936718,1528.195731,34.56873958,1630.999715,2260.888991,378.1805753,349.0276032,173.272932,606.5594948,5885.832039,2420.073132,2362.876262,31300.64542,2125.669148,12.7135758,3.244631851,1909.340809,254.9097431,6.835303328,402.2184403,228.6628546,811.1770011,3049.919227,564.1108085,226.5722492,254.33115,4771.143787,364.2610934,1218.913913,4024.515493,210.3139064,46.53183419,796.7924104,8.886538451,4.066151076,7.570149289,9.757758093,282.915465,41.30779044,2830.191592,6.269947775,633.9218217,1090.725243,0.301904191,2002.73466,151.4594354,1988.350434,1903.861459,799.4906279,1671.862943,393.360022,508.4858793,1065.653888,635.0704065,2015.01006,246.9014227,1642.038831,486.3682893,514.6493822,880.3484158,2721.87361,15776.20796,100.6009517,1774.767896,20.71398402,3046.783104,133.5060632,793.0648492,683.4097732,10.33103732,2974.449036,17.274958,710.6264223,507.6790008,273.8455289,1.878698542,2889.97317,1075.859181,37.43296521,40.01030997,261.1660834,452.0934125,1250.621932,1.907616881,1474.229369,985.100967,680.9879439,4400.937611,557.2256818,9.993779533,392.7597362,421.5761119,468.1724231,2397.161254,379.0905449,535.3970394,413.2267815,18.23128515,834.0327428,51.05424949,6635.794762,214.4867221,9642.388771,1442.966946,392.7848364,156.2601789,1423.83638,4227.937739,7.575469092,622.8070175,7159.128935,2071.398215
Economy & Employment,Jobs and businesses,% of jobs that are full-time,2016,Percent of jobs being full time.,City of Ottawa: 2016 City of Ottawa Employment Survey,77,80.70946936,47.82608696,75.29239766,72.99128751,61.21076233,76.5060241,68.70567376,63.13755796,43.41345258,86.203746,69.67213115,89.89003023,76.86861725,57.33333333,72.56637168,48.04506296,90.11379801,52.47981546,65.43209877,59.35613682,92.65175719,78.6940966,83.03985171,55.41237113,56.80345572,84.80560517,73.56828194,69.16634945,91.49359038,91.2568306,64.39060206,71.69082126,65.32582462,58.3032491,74.56857402,100,44.43262411,72.61146497,63.48352387,71.12676056,68.87052342,59.36507937,33.78378378,92.96703297,76.35782748,61.56369601,90.27573829,77.93901157,67.64705882,46.28770302,53.86363636,79.36507937,79.4921875,40.37037037,76.31954351,71.67108233,69.03270703,49.96237773,59.30107527,93.95330739,79.07770701,56.78496868,75.60652009,73.90717755,85.62279152,69.56521739,47.1017008,52.34449761,59.14742451,84.75446198,71.74592156,62.00351494,66.09116022,80.92377018,59.84251969,58.95124429,68.9025641,77.51729439,87.42659238,67.83320923,46.63097656,68.35241269,78.76447876,54.87714073,71.92584185,79.2746114,80.51017484,66.47398844,69.03690369,60.2892562,64.43514644,55.68627451,75.60875513,70.46632124,53.24368955,61.42857143,77.81026641,89.94245684,57.00560448,72.03538346,91.49377593,62.56339106,54.34314429,65.30889341,48.23788546,60.04123711,85.42999289,72.60273973,60.88531187,80.83242059,73.31606218
